text	reason
Per kelkaj biftekoj mi tre rapide refaros la sangon de mi perditan.	grammar-or-spelling
Sango bolas, juneco petolas.	grammar-or-spelling
Per kelkaj biftekoj mi tre rapide refaros la sangon de mi perditan.	grammar-or-spelling
Per kelkaj biftekoj mi tre rapide refaros la sangon de mi perditan.	grammar-or-spelling
Sen speso unua ne ekzistas la dua.	grammar-or-spelling
Homo, kim oni devas juĝi, estas juĝoto.	grammar-or-spelling
Sen speso unua ne ekzistas la dua.	grammar-or-spelling
Homo, kim oni devas juĝi, estas juĝoto.	grammar-or-spelling
Homo, kim oni devas juĝi, estas juĝoto.	grammar-or-spelling
Ni devis forlasi niaj vestojn, kiuj igis tro pezaj niajn movadojn.	grammar-or-spelling
Ni vidas per la okuloj kaj aŭdas perla oreloj.	grammar-or-spelling
Ni vidas per la okuloj kaj aŭdas perla oreloj.	grammar-or-spelling
Eble ni aldonu al ĝi ankoraŭ unu ingrediencon, por ke ĝi estu pli efika?	grammar-or-spelling
Alveninte, troviĝas neniu; sed mi vidis la homoj enmare en kvar boatoj.	grammar-or-spelling
Tiuj-ĉi kvin viroj estis parto da ŝipanoj, kiuj elĵetis Paŭlo el lia ŝipo.	grammar-or-spelling
Alicio tuj levis sin kaj rajte pensisdum ŝi kuraskian mirindan sonĝon ŝi sonĝis!	grammar-or-spelling
Unu tagon la franca pretro demandis min ĉu mi lasos Vendredon sur la insulo.	grammar-or-spelling
"Ho, rigardu, zorgu,mi petegasla infanon!" Alicio ekkriis.	grammar-or-spelling
Alicio per vigla serĉrigardo esploris la tutan tablon, kaj vidis sur ĝikrom teaĵojnenion.	grammar-or-spelling
"Ho, rigardu, zorgu,mi petegasla infanon!" Alicio ekkriis.	grammar-or-spelling
Kiam ili aproksimiĝis, Paŭlo kaj Vendredo deziris ke mi tuj ataku ilin.	grammar-or-spelling
Ne, mi kaŭzi ili ami vi multe.	grammar-or-spelling
Dirinte tion, ŝi malfermis mem la pordon kajeniris.	grammar-or-spelling
Fine la Reĝo devis anonci "Mi faris ŝercon," kajtuj la korteganoj aplaŭdis amase.	grammar-or-spelling
