Aboni gazeton, revuon, servon, dissendolisto.
Abortas mia plano pri fuĝo.
Absolute libera video babilejo ruleto.
Abundis ankaŭ la teatra programo.
Adekvata rasismo, diskriminacio ne okazu.
Adekvataj sankcioj eble estos aplikeblaj.
Adiaŭ, lando de mia juneco!
Adiaŭ, lando de mia naskiĝo!
Adiaŭ, mia patrio, miaj karaj.
Adiaŭaj leteroj sur la tablo.
Adjektivoj ne varias en pluralo.
Adjektivoj ofte rezultigas senmovan tekston.
Afriko travivas en malsama vesto.
Agi alimaniere estus plialtigi riskojn.
Agrable estis labori kun li.
Agrikultura asekuro estas neniu escepto.
Agrikulturo disvolviĝas en la valoj.
Ajlan decidis transflugi la marojn.
Ajna medicina proceduro estas riska.
Akacio kaj avĉjo estas maljunaj.
Akademiano simplan kuraciston nomis instruisto!
Akademio ne okupiĝas pri tio.
Akcidento venis al mia helpo.
Akompani iun ĝis la pordo.
Akvo bolas je cent gradoj.
Al Andreo plaĉis tiu vivmaniero.
Al Karlo apartenas blankaj ŝtrumpetoj.
Al Rufus ĉiam mankis mono.
Al ili li jam diros!
Al ili li ĉion diros!
Al ili mi turnas min.
Al infanoj ili ambaŭ plaĉis.
Al kio strebas tiuj homoj?
Al kio tio do aludus?
Al kio tio povos utili?
Al kiu alia ni iru?!
Al kiu evento en Bjalistoko?
Al kiu ĉio ĉi necesas?
Al la futuro kaj antaŭen!
Al la stacidomo ili iris.
Al li iĝis tute terure.
Al li oni ne aplaŭdis.
Al li proksimiĝis nova aperaĵo.
Al mi iu donacis ilin.
Al mi ne gravas religio.
Al mi tio ne plaĉas.
Al mi tio ŝajnis kutima.
Al mi ŝajnas ke jes!
Al mia krio neniu venis.
Al multaj homoj tio helpis.
Al neĉeestantoj ĝin alportas diakono.
Al ni alvenis Ruĝa Armeo.
Al tio mi poste revenos.
Al tio ni deziras servi.
Al tiuj opinioj necesas bati!
Al tiuj, kiuj nur ekpensis.
Al vi estas hontinde rigardi.
Al vi tie estos bone.
Al ŝi komencis renkontiĝi najbaroj.
Al ĉiaj sportkonkursoj kaj olimpikoj.
Al ĉiu afero mensogo malhelpas.
Al ĉiuj mi tre dankas.
Ala estas komunumo de Italio.
Alberto kaj Viktoro estas fizikistoj.
Aldonaĵoj funkciu sen plia konfigurado.
Aldone ĝi riĉas je malprecizeco.
Aldone, principe, multe restus fone.
Aldoni sonregistraĵon sinkrone al alia.
Aldoniĝas publikaj kaj privataj financadoj.
Ale aperis ĉe mi hazarde.
Aleksandro preskaŭ ne menciis lin.
Alia aspekto estas la prezo.
Alia ekzemplo estas la Vikipedio.
Alia franĝaj teorioj finiĝas malpruvitaj.
Alia klarigo ne povas esti!
Alia problemo estas la enhavo.
Alia problemo estas manĝi porkon.
Alia signifo povas esti bonŝanco.
Aliaj aktivas pri amaskomunikilaj rilatoj.
Aliaj bildoj sin trudis senrimede.
Aliaj esploristoj laŭdas la laboron.
Aliaj estas grandaj kiel domegoj.
Aliaj faris tion ĉe si.
Aliaj havas ankaŭ proprajn retejojn.
Aliaj homoj aliĝis ĉe Facebook.
Aliaj kuŝas sur la tabloj.
Aliaj laboras por specialigitaj vendejoj.
Aliaj loĝis tie preskaŭ dumvive.
Aliaj ne estas denaske anglalingvaj.
Aliaj nekonataj rimedoj probable rolis.
Aliaj parolis nacilingve pri Esperanto.
Aliaj reguloj estas pli firmaj.
Aliaj rekomendis pli simplan metodon.
Aliaj sekcioj jam estas pretigotaj.
Aliaj starigis al li monumentojn.
Alian mastron ni ne havas.
Alian similan signifon havas ami.
Alie al mi ne konvenas.
Alie li ne povas saviĝi.
Alie mi ne povus vivi!
Alie simple ne eblas elvivi!
Alie viroj iradas tute nudaj.
Alie ĝi perdos allogan forton.
Alie, ili pagos raciajn kotizojn.
Alie, la partnereco multe suferos.
Alikaze la plurlatero nomiĝas kompleksa.
Aliloke ili troveblas nur escepte.
Aliloke li estas tro malgranda.
Alineoj devas esti klare markitaj.
Aliokaze studentino ludis la pianon.
Alispeca apostrofado estas kutime evitinda.
Alivorte stabileco de la sistemo.
Alivorte, nia libereco estas reduktita.
Alivorte, ĝi konservas linearajn kombinaĵojn.
Aliĝu al teamo de pakantoj!
Aliĝu al ĉi tiu traktato.
Alkuris knabo, timeme okulumante Ptolemeon.
Almenaŭ estu referendumo pri tio.
Almenaŭ la avangardo havu estron.
Almenaŭ maja neĝo rapide malaperas!
Almenaŭ morton havos mi trankvilan.
Almenaŭ ne en mia ĉirkaŭaĵo.
Almenaŭ ne konscie kaj intence.
Almenaŭ ne ĝis nun ĉiaokaze.
Almenaŭ ni aŭdis la kantojn.
Almenaŭ pri Usono li sukcesis.
Almenaŭ pri drinkigo ili sukcesis.
Almenaŭ tiel asertas la historiistoj.
Almenaŭ vi min ne turmentu!
Alonte estas komunumo de Italio.
Alportu al mi ankoraŭ vodkon.
Alportu rapide, rapide alportu lin!
Altiro al nokteca kaj mistera.
Alvenas kuracisto klopodanta nin kuraĝigi.
Alvenas tempo de grandaj decidoj.
Alvenis grandsinjoro kun ruza koro.
Alvenos kelkaj familianoj kaj geamikoj.
Alŝutado neniam estis tiel simpla!
Amara heredaĵo de la milito.
Amata legado tra ĉi tio.
Ambaŭ baziĝas sur linia melodieco.
Ambaŭ eldonaĵoj estas tre simplaj.
Ambaŭ estas senvoĉaj frotaj sonoj.
Ambaŭ estas speco de parkejo.
Ambaŭ flankoj konsentis pri tio.
Ambaŭ gemaljunuloj mutiĝis de surprizo.
Ambaŭ gepatroj manĝigas la idojn.
Ambaŭ ili ankaŭ lernis Esperanton.
Ambaŭ kondiĉoj estas ne atendindaj.
Ambaŭ plenkreskuloj havas krestajn kapojn.
Ambaŭ signifoj perfekte priskribas Budhismon.
Ambaŭ statoj ne estus stabilaj.
Ambaŭ teamoj havas naŭ anojn.
Ambaŭ tiuj personoj parolis Esperanton.
Ambaŭ tomboj estas facile atingeblaj.
Ambaŭ virinoj certis pri tio.
Ambaŭ virinoj silentis sufiĉe longe.
Amema Meditado similas al tio.
Amikeco inter popoloj estas eble!
Amiko, mi invitas ankaŭ vin.
Amikoj avertis min kontraŭ li.
Amo estas donaco de Dio.
Amo povas esti nur unuopa.
Amo situas en la nuno.
Amo, knabinoj, ne estas Amoro.
Amoro flugas al ni, tro.
Amu kaj vi estos amata.
Amuziĝu, la juneco bezonas distraĵojn.
Analiza metodo estas dialektika metodo.
Analizoj kaj konkludoj aperas neniam.
Andreo kun teruro rampis plu.
Andreo prenis la trian remilon.
Andreo senvole pristudis la grupon.
Andreo sidiĝis sur kaduka seĝo.
Andreo surprizite aŭskultis tiujn vortojn.
Andreo surprizite rigardis la guberniestron.
Andreon senfine ĉagrenis tiuj vortoj.
Anglalingvanoj do ne komprenos ilin.
Angloj jam konkeris la modon.
Angoro de la lasta disiĝo.
Ankaŭ Malvino estas edziniĝinta dufoje.
Ankaŭ Vikipedio funkcias kiel vikio.
Ankaŭ al mi plaĉas ili.
Ankaŭ alian en la hispana.
Ankaŭ aŭtobusoj liveras la pasaĝerojn.
Ankaŭ dankojn meritas ĉiuj prelegintoj.
Ankaŭ de moroj kaj kutimoj.
Ankaŭ denaska parolanto povus fari.
Ankaŭ ekzistas minoritato germana Valonoj.
Ankaŭ esperantistaj turistoj estas bonvenaj.
Ankaŭ estas kelkaj proksimaj restoracioj.
Ankaŭ hodiaŭ ni estas dividitaj.
Ankaŭ hodiaŭ venis sama ondo.
Ankaŭ ili volas infekti junulojn.
Ankaŭ iliajn valorojn necesas rekalkuli.
Ankaŭ interesas min popolaj dancoj.
Ankaŭ interpunkcioj principe bezonas tradukon.
Ankaŭ kapabla ŝpari ruinigan kakofonion.
Ankaŭ kun disertaĵo ŝi timis.
Ankaŭ kuŝante oni povas interparoli.
Ankaŭ kvalitaj elementoj indas konsideron.
Ankaŭ la aŭtuno havas ĉarmon.
Ankaŭ la gamboj estas malhelaj.
Ankaŭ la haveno estas grava.
Ankaŭ la titolo estas perpleksiga.
Ankaŭ la vetero ludas rolon.
Ankaŭ li metias prilabor­an­te lignon.
Ankaŭ lia laborĉambro tute ŝanĝiĝis.
Ankaŭ mi atendis lian kritikon.
Ankaŭ mi eble reiros tien.
Ankaŭ mi faris similan aferon.
Ankaŭ mi ne havas ĝin.
Ankaŭ mi ne scias bone.
Ankaŭ mi penas lerni ĝin!
Ankaŭ mi tien iam venos.
Ankaŭ mi tre ŝatas ĝin.
Ankaŭ mi unue pensis simile.
Ankaŭ mi voĉdonus por alia.
Ankaŭ ne en mia ĉambro!
Ankaŭ ne faru interpunkciajn ŝanĝojn.
Ankaŭ ne la malon, cetere.
Ankaŭ ni manĝis ege bone!
Ankaŭ ni subtenu la muzikon.
Ankaŭ plena anglalingva traduko haveblas!
Ankaŭ plena je reĝa stilo.
Ankaŭ prelegoj kaj vesperaj amuzaĵoj.
Ankaŭ pri ili estis klaĉo.
Ankaŭ pri suba medicina personaro.
Ankaŭ pri tio mi antaŭĝojas.
Ankaŭ progresantoj trovos allogan programon.
Ankaŭ respekti ili ne kapablas.
Ankaŭ sangantaj vundoj esta malpuraj.
Ankaŭ sufiĉa stokado estis necesa.
Ankaŭ tabeloj estas veraj objektoj.
Ankaŭ tio estas ripetinda afero!
Ankaŭ tio montriĝis ĝenaĵo nefatala.
Ankaŭ tio ne estas facila.
Ankaŭ tion oni neniam antaŭvidis.
Ankaŭ varias opinioj pri legoscio.
Ankaŭ vi devus fari tion“.
Ankaŭ vi ne estas sankta.
Ankaŭ via gloro ne perdiĝos!
Ankaŭ viaj reagoj estas bonvenaj.
Ankaŭ vidu artikolon Esperanta alfabeto.
Ankaŭ ŝanco ludas gravan rolon.
Ankaŭ ĝi devas esti tradukita.
Ankaŭ ĝi estas bela aĝo.
Ankaŭ ŝi estas tre multekosta.
Ankaŭ ĝia konstruo estas malsimila.
Ankaŭ ĝin mi diligente legis.
Ankaŭ ĵurnalistoj preferas ion neordinaran.
Ankaŭ, la menciindeco estas dubinda.
Ankoraŭ en la komenco mem.
Ankoraŭ estas lacige por mi.
Ankoraŭ estos multe ridinde aferoj.
Ankoraŭ kaj daŭre ni atendas.
Ankoraŭ kelkaj vortoj pri rabatoj.
Ankoraŭ kvar horojn necesas atendi.
Ankoraŭ mankas al ni redaktoro.
Ankoraŭ ne eniris laboran reĝimon.
Ankoraŭ ne estas malfrue rezigni.
Ankoraŭ neniu ideo, kie iri?
Ankoraŭ neniu plaĉis al ĉiu.
Ankoraŭ nun multaj homoj suferas.
Ankoraŭ pri kio eblas paroli?
Ankoraŭ vi ja estas sendifekta.
Ankoraŭ viva, sed jam kondamnita.
Ankoraŭ ĝenas min facila laciĝo.
Ankoraŭfoje dankon, Dio vin benu!
Ano de Civito estas Civitano.
Anstataŭ bildo alternative eblas dosiero.
Anstataŭe oni diras simple fortigi.
Anstataŭe vi nomas min malprava.
Antaŭ dudek jaroj situacio ŝanĝiĝis.
Antaŭ kelkaj jardekoj estis alimaniere.
Antaŭ la fenestro estas kurteno.
Antaŭ nelonge mi meditis tio.
Antaŭ tiu afiŝo estis vestejo.
Antaŭ ĝi ni fuĝas for.
Antaŭ ĉio necesas esti soleca.
Antaŭ ĉio, sekure alvenu Ŝanhajon.
Antaŭe du lokaj viroj interparolas.
Antaŭe estis forigita la servisto.
Antaŭe li ĝuste tiel faris.
Antaŭe necesas rompi vian subkonscion.
Antaŭnelonge mi komencis lerni Esperanton.
Anticipan dankon pro via subteno.
Antono estas nevo de Petro.
Aparateto por ludi elektran gitaron.
Apenaŭ eblis kontentigi la bezonon.
Apenaŭ iu havas ĝustan respondon.
Apenaŭ lin portas la piedoj.
Apenaŭ mi povas regi min.
Aperis antaŭ li la ekzercejo.
Aperis ege malvarma la novjaro.
Apero de la lingvo Edziĝo.
Apero planita por antaŭ somere.
Aperos tute aliaj serĉaj linioj.
Apopleksion li surprize rapide venkis.
Aprilo venis kaj Horacio reaperas!
Aprobaj krioj estis la respondo.
Apud la domo estas hundo.
Apud la pordo estas forno.
Apud la stacidomo ĉiovendejo funkcias.
Apud la stacio parkumejo funkcias.
Apud li kuŝas lia ĉapelo.
Apud lia lito staras hundo.
Apud malgranda valeto Mateo haltis.
Apud sia domo li haltis.
Apuda hotelo enhavis multajn pli.
Apude estas videbla diverskolora papilio.
Apude paŝtis sin nigra bubalo.
Aresto ŝajnis nur rozkolora revo.
Arkivi ankoraŭ ne signifas publikigi.
Armilo kontraŭ la mucidaj adasismoj.
Aro da onidiroj priis lin.
Aro de komunaj vikipediaj vortoj.
Aro dum migrado super Israelo.
Aroj Atendu por mia edzo.
Aromo estas citrusa, ĉefe oranĝa.
Arseno ilin premis, mi vidis.
Artikloj por vojaĝo kaj tualeto.
Artikolojn povas kontribui iu ajn.
Asirio, aro de rabiaj leonoj!
Asketoj ja kapablas fari tion.
Astronomio distingiĝas nuntempe disde astrologio.
Astronomio ne nur fascinas fakulojn.
Atanazio sola komencis la batalon.
Atendi monaton estas vere escepto!
Atendu, ne respondu; nur memoru.
Atentu dum surfado de retejoj.
Atentu internaciecon de interna formo!
Atiko estas mia dua patrujo.
Aveto, ekbalancu min iom ankoraŭ.
Aviadila bileto estas tute banala.
Aviadistojn oni alveturadis grave brulvunditajn.
Avinjo, mi hodiaŭ mortigis Jesueton.
Avino falas el kvara etaĝo.
Avo Frosto preferas manskribitajn leterojn.
Avĉjo altiras arbon kaj birdojn.
Avĉjo estas sorĉita de pego.
Aŭ dancu sub la pluvo!
Aŭ decide ekbatali kontraŭ ili.
Aŭ eble oni malbone serĉis.
Aŭ eble ŝanĝiĝis la modo.
Aŭ eble, de la ĉapelo.
Aŭ eĉ glaseton da konjako.
Aŭ faras ŝi virtuala donaco.
Aŭ ian alian korpan funkcion.
Aŭ kion alian vi imagas?
Aŭ metu en la punejon.
Aŭ ni konsideru alian ekzemplon.
Aŭ nur iom, por komenci.
Aŭ oni faras politikan decidon.
Aŭ sintenoj eĉ pli gravaj.
Aŭ survojigu kampanjon pri Kamboĝo.
Aŭ tiel ŝajnas al mi.
Aŭ tion oni ĉiam asertas.
Aŭ uzu ĉi tiun formularon.
Aŭ vi devas krei novan.
Aŭ ĝi ploras pli forte.
Aŭ ĝi vekas neelporteblan angoron.
Aŭ ĉu la feliĉon mem?
Aŭ ĉu mesaĝoj perdiĝas senspure?
Aŭ ĉu mi estas maljusta?
Aŭ ĉu mi ion miskomprenis?
Aŭ ĉu mi revenos iam?
Aŭ ĉu simple mallaboremo, inerteco?
Aŭ ĉu tion mi imagas?
Aŭ ĉu ĝenas la sono?
Aĥ, dio mia, kia aĉaĵo!
Aĥ, kiel ĝoja ni estis!
Aŭ, pli bone eĉ, adiaŭ!
Aĥ, se vi ĉesus fumi!
Aĥ, ĉu eblas ĉion klarigi!
Aŭdiĝis, kiel frapis la pordo.
Aŭdu, deĵetu la pastran mantelon!
Aĝo estas io pli profunda.
Aĵo promesita estas aĵo plenumenda.
Aŭskulti estas komenco de interkompreno.
Aŭskultu min, ŝi volas societon!
Aŭstrio okupis Lombardion kaj Venecion.
Aŭtomata asemblo de tradukaj vortaroj.
Aŭton, kiun vi neniam kondukis?
Aŭtune kaj vintre en arboj.
Aŭtune piroj flaviĝas kaj maturiĝas.
Babilejo ruleto solvas tiun problemon.
Bakos broŝureton pri via vivo.
Balbutas, ke li mem sukcesos.
Baldaŭ alvenos pliaj novaĵoj prie.
Baldaŭ dormis la tuta kompanio.
Baldaŭ estos la printempa festo.
Baldaŭ la haveno estas vivoplena.
Baldaŭ li estos tute supre.
Baldaŭ mi eksciis la kialon.
Baldaŭ mi eksciis, ke Prof.
Baldaŭ mi estos tute senhara.
Baldaŭ oni alarmis montarajn savantojn.
Baldaŭ venis la alia sendito.
Bangladeŝo progresas malgraŭ siaj problemoj.
Banloko apartenas al la municipo.
Barato, elektu sencon anstataŭ, sensencon.
Barbara rigardis al li suspekteme.
Barbara skribis el la fronto.
Barbara verŝis al li teon.
Barbara, certe, ne estis hejme.
Barbara, forturniĝinte pro ĝentileco, ekdormetis.
Basbalo havas relative facilan regularon.
Basgitaro estas muzika korda instrumento.
Baza unuo de takta muziko.
Bazaj numeraloj havas simpligitan deklinacion.
Bazaj vortoj povas modifi aliajn.
Bazante sin tute sur interhelpo.
Baze, la aliĝilo estas individua.
Bedaŭrinde estas ankaŭ multaj malavantaĝoj.
Bedaŭrinde la belega Elba freneziĝis.
Bedaŭrinde la kopio iris aliloken.
Bedaŭrinde li ne faris tion.
Bedaŭrinde mi devis malakcepti tion.
Bedaŭrinde mi ne havas respondon.
Bedaŭrinde nin interrompis la telefono.
